agecat,first_dose_pcttakeup,full_regimen_pcttakeup,vacc_date
12_to_19,0,0,30/12/2020
12_to_19,0,0,31/12/2020
12_to_19,0,0,1/1/2021
12_to_19,0,0,2/1/2021
12_to_19,0,0,3/1/2021
12_to_19,0,0,4/1/2021
12_to_19,0,0,5/1/2021
12_to_19,0,0,6/1/2021
12_to_19,0,0,7/1/2021
12_to_19,0,0,8/1/2021
12_to_19,0,0,9/1/2021
12_to_19,0,0,10/1/2021
12_to_19,0,0,11/1/2021
12_to_19,0,0,12/1/2021
12_to_19,0,0,13/1/2021
12_to_19,0,0,14/1/2021
12_to_19,0,0,15/1/2021
12_to_19,0,0,16/1/2021
12_to_19,0,0,17/1/2021
12_to_19,0,0,18/1/2021
12_to_19,0,0,19/1/2021
12_to_19,0,0,20/1/2021
12_to_19,0,0,21/1/2021
12_to_19,0,0,22/1/2021
12_to_19,0,0,23/1/2021
12_to_19,0,0,24/1/2021
12_to_19,0,0,25/1/2021
12_to_19,0,0,26/1/2021
12_to_19,0,0,27/1/2021
12_to_19,0,0,28/1/2021
12_to_19,0,0,29/1/2021
12_to_19,0,0,30/1/2021
12_to_19,0,0,31/1/2021
12_to_19,0,0,1/2/2021
12_to_19,0,0,2/2/2021
12_to_19,0,0,3/2/2021
12_to_19,0,0,4/2/2021
12_to_19,0,0,5/2/2021
12_to_19,1,0,6/2/2021
12_to_19,1,0,7/2/2021
12_to_19,1,0,8/2/2021
12_to_19,1,0,9/2/2021
12_to_19,1,0,10/2/2021
12_to_19,1,0,11/2/2021
12_to_19,1,0,12/2/2021
12_to_19,1,0,13/2/2021
12_to_19,1,0,14/2/2021
12_to_19,1,0,15/2/2021
12_to_19,1,0,16/2/2021
12_to_19,1,0,17/2/2021
12_to_19,1,0,18/2/2021
12_to_19,1,0,19/2/2021
12_to_19,1,0,20/2/2021
12_to_19,1,0,21/2/2021
12_to_19,1,0,22/2/2021
12_to_19,1,0,23/2/2021
12_to_19,1,0,24/2/2021
12_to_19,1,0,25/2/2021
12_to_19,1,0,26/2/2021
12_to_19,1,0,27/2/2021
12_to_19,1,0,28/2/2021
12_to_19,1,1,1/3/2021
12_to_19,1,1,2/3/2021
12_to_19,1,1,3/3/2021
12_to_19,1,1,4/3/2021
12_to_19,1,1,5/3/2021
12_to_19,1,1,6/3/2021
12_to_19,1,1,7/3/2021
12_to_19,1,1,8/3/2021
12_to_19,1,1,9/3/2021
12_to_19,1,1,10/3/2021
12_to_19,1,1,11/3/2021
12_to_19,1,1,12/3/2021
12_to_19,1,1,13/3/2021
12_to_19,1,1,14/3/2021
12_to_19,1,1,15/3/2021
12_to_19,1,1,16/3/2021
12_to_19,1,1,17/3/2021
12_to_19,1,1,18/3/2021
12_to_19,1,1,19/3/2021
12_to_19,1,1,20/3/2021
12_to_19,1,1,21/3/2021
12_to_19,1,1,22/3/2021
12_to_19,1,1,23/3/2021
